,,,,,,한국 상위(%),,,,,,,,,,,,,,,전년 대비(%),,,,,,,,,,,,,,""
회사명,업계,응답(명),BIE(점),한국 상위(%),동의어,직무만족도,조직몰입도,이직의도,스트레스,업무자율성,업무의미감,업무중요도,상사관계,동료관계,직장내유대,워라밸,표현의자유,복지,윤리,심리적안전감,직무만족도,조직몰입도,이직의도,스트레스,업무자율성,업무의미감,업무중요도,상사관계,동료관계,직장내유대,워라밸,표현의자유,복지,윤리,"심리적안전감"
켐트로닉스,에너지-화학 ,12,45,46%,#N/A,41%,54%,43%,13%,10%,18%,56%,38%,89%,85%,45%,26%,73%,30%,28%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
HDC현대산업개발,건설-중공업,19,44,48%,"HDC현대산업개발, HDC현산, 현산, 현대산업개발, HDC, 에이치디씨",41%,61%,65%,41%,53%,37%,59%,42%,64%,65%,47%,62%,50%,10%,67%,-10%,35%,11%,-19%,-10%,35%,11%,-19%,24%,-10%,48%,2%,41%,41%,"0%"
IBK시스템,IT서비스 ,14,44,48%,"IBK시스템, IBK System, 아이비케이시스템, IBK, 아이비케이",44%,50%,8%,89%,42%,82%,72%,79%,85%,67%,45%,84%,31%,54%,18%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
가톨릭중앙의료원,병원,38,44,47%,가톨릭중앙의료원,52%,50%,42%,72%,65%,35%,72%,63%,64%,36%,45%,69%,42%,79%,46%,-6%,35%,28%,22%,-6%,35%,28%,22%,-8%,72%,-1%,-11%,16%,12%,"9%"
공무원,정부·공공기관,424,44,48%,공무원,59%,52%,33%,48%,55%,76%,67%,50%,56%,67%,47%,65%,76%,61%,45%,-9%,34%,15%,13%,-9%,34%,15%,13%,30%,9%,15%,7%,5%,6%,"0%"
대한민국법원,정부·공공기관,44,44,47%,"법원, 대법원, 대한민국법원",50%,43%,30%,19%,16%,60%,45%,44%,49%,30%,40%,43%,88%,37%,28%,-17%,11%,9%,9%,-17%,11%,9%,9%,72%,-4%,-4%,8%,-7%,-1%,"7%"
부산대학교병원,병원 ,12,44,48%,"부산대학교병원, 부산대병원, 부산대, 부산대학교",72%,86%,12%,98%,98%,66%,95%,95%,91%,44%,57%,64%,71%,75%,34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
비상교육,교육-출판 ,14,44,47%,비상교육,41%,20%,29%,33%,21%,41%,24%,53%,61%,51%,15%,16%,53%,42%,23%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
LX하우시스,자동차 ,20,44,48%,"엘지하우시스, LX하우시스, LG하우시스, 엘지 하우시스, LX 하우시스, LG 하우시스",82%,58%,19%,24%,4%,57%,31%,36%,40%,14%,15%,8%,39%,8%,28%,-19%,-22%,-13%,11%,-19%,-22%,-13%,11%,-15%,18%,4%,7%,-1%,52%,"12%"
위대한상상,IT ,13,44,46%,"요기요, 딜리버리히어로, 위대한상상, 딜리버리히어로코리아, 알지피코리아, 딜리버리 히어로 코리아, 딜리버리 히어로",44%,73%,59%,46%,29%,52%,81%,63%,21%,34%,33%,50%,43%,48%,63%,9%,109%,64%,33%,9%,109%,64%,33%,64%,4%,85%,19%,19%,36%,"-1%"
중앙대학교의료원,병원 ,11,44,49%,중앙대학교의료원,54%,33%,16%,69%,77%,18%,26%,36%,35%,44%,65%,56%,59%,30%,50%,-9%,-5%,10%,105%,-9%,-5%,10%,105%,-28%,21%,-13%,-4%,17%,28%,"5%"
팜한농,에너지-화학,11,44,47%,"팜한농, Farm hannong, LG팜한농, LG, 엘지",54%,54%,56%,77%,31%,45%,37%,36%,56%,64%,82%,50%,87%,75%,58%,0%,1%,16%,56%,0%,1%,16%,56%,-22%,21%,-3%,9%,-18%,-34%,"-9%"
한국산업인력공단,공공기관 ,21,44,48%,"한국산업인력공단, 산인공, 산업인력공단",36%,19%,44%,42%,21%,30%,20%,31%,29%,25%,23%,6%,51%,36%,22%,-8%,55%,23%,35%,-8%,55%,23%,35%,-29%,-6%,-4%,-2%,-6%,-12%,"-24%"
한국파렛트풀,물류 ,22,44,47%,한국파렛트풀,36%,39%,57%,62%,27%,33%,19%,56%,48%,55%,41%,74%,9%,23%,59%,-2%,28%,50%,1%,-2%,28%,50%,1%,-12%,71%,71%,25%,47%,49%,"54%"
한림대학교의료원,병원 ,15,44,47%,"한림대 의료원, 한림대학교의료원",25%,15%,16%,34%,75%,11%,24%,32%,10%,21%,45%,22%,39%,30%,29%,13%,45%,55%,87%,13%,45%,55%,87%,250%,39%,36%,45%,18%,4%,"14%"
한미약품,리빙-뷰티 ,35,44,47%,"한미약품, Hanmi Pharm",74%,71%,44%,48%,41%,71%,65%,41%,50%,31%,53%,69%,60%,56%,76%,-10%,-4%,9%,2%,-10%,-4%,9%,2%,9%,50%,3%,39%,3%,8%,"5%"
한온시스템,자동차 ,12,44,48%,"한온시스템, Hanon Systems, 한온systems, Hanon시스템, 한온",66%,95%,83%,6%,78%,100%,99%,23%,40%,82%,41%,89%,85%,64%,86%,-1%,98%,43%,-29%,-1%,98%,43%,-29%,22%,3%,0%,-21%,116%,79%,"0%"
에르메스코리아,패션 ,11,44,47%,#N/A,10%,15%,43%,38%,64%,24%,35%,36%,34%,8%,33%,78%,31%,3%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
코오롱모터스,자동차,18,44,47%,#N/A,30%,50%,32%,48%,94%,43%,67%,66%,67%,55%,67%,60%,50%,57%,77%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국방송통신전파진흥원,공공기관 ,10,44,48%,#N/A,57%,32%,40%,58%,51%,66%,53%,79%,74%,22%,12%,11%,68%,48%,63%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
SGC이앤씨,건설-중공업 ,15,44,48%,#N/A,29%,29%,46%,77%,37%,40%,10%,55%,34%,40%,46%,72%,64%,22%,47%,9%,132%,67%,84%,9%,132%,67%,84%,79%,98%,19%,23%,73%,138%,"74%"
아워홈,커머스 ,35,43,52%,"OURHOME, 아워홈",41%,18%,14%,38%,29%,11%,31%,23%,30%,30%,53%,41%,69%,52%,26%,9%,56%,83%,38%,9%,56%,83%,38%,76%,37%,66%,36%,23%,24%,"8%"
경찰청,정부·공공기관,191,43,51%,"경찰, 경찰청",65%,50%,14%,33%,52%,78%,89%,64%,68%,77%,55%,76%,67%,62%,64%,-9%,45%,41%,9%,-9%,45%,41%,9%,29%,16%,19%,7%,12%,5%,"-6%"
고려대학교의료원,병원,21,43,51%,고려대학교의료원,66%,56%,44%,78%,98%,55%,57%,52%,40%,68%,56%,77%,48%,78%,54%,10%,60%,75%,54%,10%,60%,75%,54%,32%,92%,5%,29%,17%,63%,"2%"
대동,전자-기계,20,43,50%,대동,64%,73%,64%,28%,75%,29%,84%,90%,64%,76%,64%,24%,10%,71%,47%,10%,57%,24%,63%,10%,57%,24%,63%,213%,93%,56%,4%,-4%,4%,"-19%"
라이나생명보험,금융 ,16,43,49%,"라이나생명, 라이나생명보험",80%,89%,29%,81%,88%,72%,95%,99%,96%,74%,76%,87%,57%,71%,94%,-12%,-16%,-12%,16%,-12%,-16%,-12%,16%,-27%,-17%,-9%,-17%,-43%,-20%,"-11%"
메리츠증권,증권 ,17,43,51%,"메리츠증권, 메리츠, Meritz",88%,95%,79%,89%,64%,90%,96%,93%,87%,97%,95%,69%,32%,33%,97%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
인제대학교 백병원,병원 ,19,43,51%,백병원,75%,50%,45%,80%,86%,81%,95%,92%,84%,62%,72%,92%,61%,75%,72%,-3%,41%,28%,20%,-3%,41%,28%,20%,28%,46%,1%,-12%,-9%,-16%,"-1%"
세아베스틸,철강 ,14,43,49%,"세아베스틸, Seahbe steel, 세아베steel, Seahbe스틸, Seah, 세아",58%,17%,92%,95%,77%,55%,12%,28%,47%,65%,64%,76%,66%,35%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
솔브레인,반도체 ,21,43,49%,솔브레인,23%,24%,63%,29%,39%,78%,56%,39%,21%,8%,27%,31%,44%,56%,30%,-20%,47%,9%,-44%,-20%,47%,9%,-44%,22%,-21%,-32%,-7%,4%,36%,"-6%"
딜로이트안진,회계-컨설팅,50,43,49%,"안진, Deloitte, 딜로이트안진, 안진회계법인, 안진회계, 딜로이트",62%,72%,77%,54%,92%,54%,59%,64%,62%,77%,88%,70%,54%,62%,59%,-13%,2%,-4%,-8%,-13%,2%,-4%,-8%,22%,-25%,4%,8%,3%,-10%,"-15%"
에드워드코리아,전자-기계 ,22,43,49%,"에드워드코리아, 에드워드 한국, 에드워드, Edwards, Edwards Korea",71%,88%,88%,66%,51%,83%,75%,95%,97%,66%,24%,50%,92%,55%,45%,-22%,-14%,-31%,-38%,-22%,-14%,-31%,-38%,-38%,0%,-5%,-1%,-34%,-19%,"3%"
LF,커머스 ,13,43,50%,"엘에프, LF",28%,50%,67%,51%,12%,45%,37%,69%,8%,2%,3%,56%,34%,18%,34%,14%,99%,100%,78%,14%,99%,100%,78%,52%,45%,63%,24%,15%,121%,"44%"
엘지유플러스 협력사,통신,11,43,50%,"엘지유플러스 협력사, LG유플 협력사, LG유플러스 협력사, LG U+ 협력사, 유플러스 협력사, LG U+, LG유플러스, 엘지유플러스, LG, 엘지",41%,62%,48%,21%,15%,90%,71%,49%,72%,22%,42%,1%,37%,40%,32%,-12%,4%,2%,111%,-12%,4%,2%,111%,2%,-17%,9%,21%,-16%,-1%,"11%"
인천공항운영서비스,항공,16,43,51%,"인천공항운영서비스, 인천공항운영, 인천공항서비스, 인천공항, 인천",49%,35%,36%,48%,54%,75%,76%,39%,44%,49%,37%,10%,57%,34%,30%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
POSCO,철강 ,88,43,51%,"포스코, POSCO",35%,25%,76%,43%,30%,35%,43%,19%,24%,33%,41%,38%,15%,31%,18%,22%,114%,82%,29%,22%,114%,82%,29%,36%,33%,63%,15%,32%,23%,"13%"
포스코DX,IT서비스 ,11,43,50%,"포스코DX, 포스코디엑스, PoscoDX, Posco디엑스, Posco, 포스코",61%,54%,27%,47%,69%,56%,75%,76%,75%,90%,56%,54%,31%,67%,67%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
하나금융티아이,IT서비스 ,14,43,49%,"하나I&S, 하나아이앤에스, 하나금융티아이",58%,64%,72%,51%,11%,57%,31%,63%,15%,46%,34%,12%,53%,60%,37%,8%,35%,133%,8%,8%,35%,133%,8%,56%,361%,45%,0%,72%,85%,"142%"
하나증권,증권 ,17,43,50%,하나금융투자,48%,75%,32%,48%,32%,15%,35%,63%,44%,22%,14%,72%,60%,80%,74%,-16%,0%,5%,7%,-16%,0%,5%,7%,-6%,-26%,20%,16%,4%,5%,"11%"
하나마이크론,반도체 ,17,43,50%,"하나마이크론, Hana Micron",26%,21%,71%,64%,43%,15%,2%,15%,4%,62%,37%,36%,33%,25%,23%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
태웅로직스,물류 ,14,43,49%,#N/A,51%,34%,66%,93%,85%,34%,7%,6%,4%,1%,24%,27%,60%,58%,28%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
파라다이스세가사미,호텔-레저 ,10,43,49%,#N/A,48%,68%,56%,62%,85%,93%,78%,99%,100%,98%,97%,98%,40%,82%,72%,-2%,76%,71%,-17%,-2%,76%,71%,-17%,-23%,14%,-11%,10%,-36%,-64%,"-40%"
윌로펌프,전자-기계 ,11,43,50%,#N/A,54%,50%,42%,30%,8%,66%,90%,82%,89%,82%,12%,54%,93%,82%,36%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
에이앤유디자인그룹,건설-중공업 ,12,43,50%,#N/A,60%,73%,26%,7%,51%,29%,58%,81%,59%,88%,77%,59%,92%,68%,74%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
콘티넨탈오토모티브코리아,자동차 ,11,43,50%,#N/A,84%,88%,96%,85%,15%,47%,56%,45%,16%,32%,9%,20%,50%,71%,57%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
코스메카코리아,리빙-뷰티 ,13,43,51%,#N/A,28%,41%,42%,44%,41%,17%,41%,31%,19%,20%,77%,27%,68%,40%,32%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
에이직랜드,반도체 ,10,43,51%,#N/A,64%,88%,28%,16%,75%,24%,27%,90%,50%,40%,80%,88%,77%,79%,61%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
HD현대사이트솔루션,건설-중공업,10,43,52%,#N/A,64%,95%,75%,65%,89%,88%,75%,96%,96%,96%,88%,98%,57%,99%,96%,-41%,-20%,-60%,-49%,-41%,-20%,-60%,-49%,-63%,-47%,-49%,-26%,-57%,-48%,"-51%"
NCSOFT,IT ,35,42,53%,"NCSOFT, NC, 엔씨, 엔씨소프트",76%,86%,72%,77%,93%,89%,92%,86%,92%,72%,78%,76%,54%,59%,79%,-13%,15%,3%,17%,-13%,15%,3%,17%,-22%,-50%,-14%,-14%,-30%,-28%,"-6%"
SK에코플랜트,건설-중공업,44,42,53%,"SK건설, 에스케이에코플랜트, 에스케이건설, SK에코플랜트, SK E&C, SK 건설",72%,63%,50%,69%,62%,59%,88%,69%,65%,60%,61%,60%,60%,56%,67%,-16%,-7%,24%,-4%,-16%,-7%,24%,-4%,-17%,-18%,-9%,-21%,3%,19%,"21%"
WEBZEN,게임,16,42,53%,"WEBZEN, 웹젠",43%,28%,19%,12%,2%,24%,41%,19%,8%,10%,4%,16%,47%,5%,5%,-14%,-10%,19%,31%,-14%,-10%,19%,31%,43%,28%,8%,17%,45%,50%,"10%"
금호건설,건설-중공업,13,42,53%,"금호산업, 금호건설",23%,12%,42%,67%,79%,15%,19%,36%,43%,44%,89%,88%,49%,46%,33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
넥센타이어,자동차,16,42,54%,"넥센타이어, Nexen Tire, 넥센tire, Nexen타이어, 넥센, Nexen",49%,50%,36%,22%,85%,40%,88%,25%,59%,49%,74%,69%,57%,66%,84%,-11%,42%,72%,-3%,-11%,42%,72%,-3%,-5%,-25%,90%,-8%,41%,-5%,"24%"
노루페인트,에너지-화학,15,42,53%,노루페인트,75%,53%,19%,81%,27%,48%,19%,40%,69%,67%,34%,80%,4%,60%,45%,-8%,-15%,12%,63%,-8%,-15%,12%,63%,-42%,29%,33%,42%,7%,-8%,"-13%"
대한유화,에너지-화학,13,42,53%,대한유화,33%,81%,88%,13%,11%,43%,57%,4%,10%,33%,8%,50%,65%,66%,13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
디와이,전자-기계,20,42,52%,"디와이, DY",25%,39%,50%,31%,39%,38%,26%,31%,56%,69%,38%,32%,52%,15%,27%,6%,83%,111%,66%,6%,83%,111%,66%,109%,36%,85%,90%,41%,39%,"62%"
롯데렌탈,자동차,17,42,54%,"롯데렌탈, Lotte Rental, 롯데rental, Lotte렌탈, 롯데, Lotte",29%,50%,59%,84%,42%,37%,9%,36%,40%,20%,41%,19%,51%,7%,20%,-9%,65%,43%,5%,-9%,65%,43%,5%,-14%,13%,20%,26%,36%,25%,"32%"
HL만도,자동차,38,42,53%,"만도, Mando",78%,74%,71%,56%,85%,66%,60%,68%,71%,92%,77%,83%,79%,87%,85%,-2%,15%,43%,13%,-2%,15%,43%,13%,-2%,-11%,28%,23%,-7%,-6%,"-31%"
하이브,방송-엔터 ,13,42,54%,"빅히트, 빅히트엔터테인먼트, HYBE, 하이브",52%,50%,31%,51%,70%,44%,54%,54%,64%,62%,83%,94%,69%,54%,69%,-13%,13%,-4%,53%,-13%,13%,-4%,53%,5%,14%,21%,4%,8%,-11%,"-3%"
서울우유협동조합,식음료 ,15,42,55%,"서울우유협동조합, 서울우유",66%,53%,27%,80%,29%,43%,65%,63%,40%,75%,22%,77%,85%,92%,69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
수협은행,은행 ,20,42,53%,수협은행,31%,37%,58%,18%,37%,37%,21%,25%,24%,33%,17%,8%,38%,34%,15%,-19%,17%,-2%,-16%,-19%,17%,-2%,-16%,-9%,-24%,17%,13%,10%,4%,"17%"
스테코,반도체 ,16,42,55%,"스테코, Steco",19%,29%,86%,71%,11%,33%,68%,49%,32%,42%,22%,53%,31%,47%,49%,-7%,99%,67%,-13%,-7%,99%,67%,-13%,16%,13%,24%,-4%,12%,3%,"-6%"
아시아나항공,항공 ,25,42,54%,"아시아나항공, 아시아나, 아샤나, ASIANA AIRLINES, ASIANA",53%,40%,14%,40%,93%,34%,29%,72%,82%,77%,72%,79%,80%,75%,81%,-5%,48%,54%,21%,-5%,48%,54%,21%,10%,25%,32%,51%,49%,11%,"7%"
LG이노텍,자동차 ,66,42,52%,"엘지 이노텍, 이노텍, 엘지이노텍, LG이노텍, LG 이노텍, LG Innotek",53%,51%,51%,63%,65%,88%,66%,63%,23%,32%,60%,22%,41%,45%,45%,-2%,64%,53%,25%,-2%,64%,53%,25%,31%,28%,11%,24%,39%,41%,"20%"
인천공항시설관리,항공,26,42,52%,"인천공항시설관리, 인천공항관리, 인천공항시설, 인천공항, 인천",33%,76%,34%,16%,8%,60%,71%,56%,75%,72%,18%,56%,80%,67%,38%,4%,79%,21%,17%,4%,79%,21%,17%,41%,50%,60%,41%,19%,6%,"23%"
자이씨앤에이,건설-중공업 ,10,42,54%,"자이씨앤에이, Xicna",88%,86%,81%,46%,29%,93%,41%,70%,92%,69%,18%,50%,74%,75%,79%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
케이씨텍,반도체 ,11,42,54%,"케이씨텍, KCtech, KC텍, 케이씨tech",68%,62%,89%,77%,79%,94%,90%,77%,82%,95%,89%,86%,92%,68%,92%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
현대백화점,커머스,14,42,54%,"현대백, 현대백화점, 현백",51%,41%,71%,47%,63%,84%,65%,28%,16%,55%,78%,64%,14%,59%,34%,2%,102%,49%,23%,2%,102%,49%,23%,42%,-5%,47%,79%,107%,59%,"54%"
씨티알,자동차 ,21,42,52%,#N/A,46%,55%,45%,40%,32%,24%,59%,9%,77%,30%,22%,15%,62%,38%,37%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
KB자산운용,금융 ,11,42,52%,#N/A,32%,90%,48%,58%,87%,29%,78%,69%,91%,35%,72%,84%,94%,96%,58%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
초록우산어린이재단,비영리·재단,11,42,52%,#N/A,89%,91%,97%,99%,91%,80%,99%,98%,86%,86%,78%,89%,85%,59%,93%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
LS증권,증권 ,10,42,52%,#N/A,48%,69%,36%,52%,33%,38%,51%,63%,35%,18%,23%,38%,63%,30%,51%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
이스타항공,항공 ,19,42,53%,#N/A,24%,9%,68%,45%,51%,5%,23%,9%,19%,20%,41%,41%,42%,42%,69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국장애인개발원,공공기관 ,10,42,54%,#N/A,48%,86%,62%,83%,15%,52%,71%,92%,72%,34%,33%,50%,60%,40%,82%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
현대카드,금융 ,13,42,54%,#N/A,74%,78%,56%,81%,69%,91%,99%,95%,100%,100%,80%,99%,50%,71%,88%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
삼안,건설-중공업 ,12,42,55%,#N/A,72%,69%,56%,60%,92%,66%,56%,82%,85%,98%,76%,26%,78%,85%,51%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
금호피앤비화학,에너지-화학,10,42,55%,#N/A,31%,40%,66%,69%,15%,9%,1%,16%,5%,32%,56%,40%,50%,71%,22%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
DB손해보험,금융 ,51,41,56%,"DB 손해보험, DB손해보험, 동부화재, DB 손보,  DB손해보험, DB손보",58%,59%,63%,66%,85%,60%,51%,82%,86%,68%,88%,86%,41%,82%,62%,-13%,24%,5%,-10%,-13%,24%,5%,-10%,-18%,-13%,2%,8%,-20%,-6%,"8%"
DL케미칼,에너지-화학,19,41,56%,"DL케미칼, DL Chemical, 디엘케미칼, DL, 디엘, 대림",93%,97%,93%,83%,71%,98%,84%,83%,77%,82%,76%,87%,42%,47%,84%,-35%,-51%,-47%,-52%,-35%,-51%,-47%,-52%,-62%,-31%,-49%,-12%,-34%,-23%,"-28%"
HL클레무브,전자-기계 ,21,41,56%,"HL클레무브, HL Klemove, 에이치엘클레무브, HL, 에이치엘",63%,92%,62%,60%,67%,66%,67%,71%,64%,60%,78%,41%,78%,78%,94%,-18%,-3%,-6%,-2%,-18%,-3%,-6%,-2%,-26%,-22%,-24%,-16%,-12%,0%,"-4%"
LG마그나이파워트레인,자동차 ,13,41,57%,"LG마그나이파워트레인, 엘지마그나이파워트레인, 엘지이파워트레인, LG이파워트레인, LG마그나, 엘지마그나 , LG, 엘지",52%,65%,90%,80%,73%,43%,72%,73%,70%,25%,80%,30%,61%,20%,49%,-23%,15%,4%,-38%,-23%,15%,4%,-38%,-43%,-44%,25%,21%,-17%,8%,"33%"
NH농협캐피탈,금융 ,10,41,55%,"NH농협캐피탈, 농협캐피탈, 농협capital, NH농협capital, NH농협, NH, 농협, Nonghyup",71%,33%,36%,38%,31%,20%,11%,36%,56%,72%,23%,56%,41%,23%,34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
NH농협,금융 ,102,41,55%,"Nonghyup, 엔에이치농협, NH농협, NH 농협, 농협, NH",59%,50%,60%,54%,69%,75%,48%,64%,71%,60%,61%,83%,57%,77%,65%,-16%,17%,12%,-9%,-16%,17%,12%,-9%,-8%,14%,3%,9%,8%,4%,"11%"
컬리,IT ,27,41,55%,"더파머스, 컬리",48%,53%,86%,46%,16%,37%,61%,78%,68%,58%,42%,38%,93%,71%,75%,-19%,-13%,11%,-5%,-19%,-13%,11%,-5%,-22%,48%,16%,14%,22%,17%,"14%"
모두투어네트워크,여행사 ,11,41,55%,"모두투어네트워크, 모두투어",41%,41%,42%,60%,77%,80%,80%,63%,58%,10%,26%,26%,86%,24%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
에스원,보안 ,51,41,55%,에스원,66%,63%,34%,30%,60%,83%,86%,71%,54%,57%,61%,76%,62%,59%,50%,4%,54%,54%,131%,4%,54%,54%,131%,21%,3%,26%,10%,1%,6%,"-3%"
에이스아메리칸화재해상보험,보험 ,11,41,56%,"에이스아메리칸화재해상보험, 에이스손해보험, 에이스손보, 에이스화재손보, 에이스아메리칸화재손보, 에이스아메리칸손보, Ace화재손보, Ace아메리칸화재손보, Ace아메리칸손보, Ace아메리칸화재해상보험, Ace손해보험, Ace손보, 에이스, ACE",54%,19%,56%,12%,39%,24%,41%,6%,8%,13%,18%,6%,24%,10%,32%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
케이워터기술,공공기관,17,41,57%,"케이워터기술, 케이워터, K water, K-water, K워터",67%,70%,81%,34%,24%,57%,86%,67%,61%,60%,8%,41%,42%,54%,55%,-1%,33%,8%,-4%,-1%,33%,8%,-4%,37%,48%,-23%,-19%,-18%,1%,"83%"
케이카,자동차 ,24,41,56%,"케이카, K car, 케이car",66%,58%,56%,87%,42%,41%,31%,67%,72%,68%,64%,69%,37%,21%,53%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
풀무원,식음료 ,30,41,57%,"풀무원, Pulmuone",36%,42%,70%,34%,51%,27%,45%,39%,53%,52%,60%,50%,47%,23%,30%,-5%,59%,27%,68%,-5%,59%,27%,68%,33%,14%,66%,15%,47%,37%,"18%"
한국아이큐비아,제약-바이오 ,15,41,56%,"한국아이큐비아, IQVIA, 아이큐비아 한국, IQVIA Korea",71%,88%,56%,78%,77%,90%,88%,55%,77%,76%,73%,78%,79%,53%,54%,-28%,-27%,-44%,9%,-28%,-27%,-44%,9%,-14%,14%,-24%,-9%,8%,-19%,"-9%"
한신공영,건설-중공업 ,10,41,56%,한신공영,20%,40%,18%,16%,51%,24%,27%,6%,74%,30%,88%,27%,75%,58%,63%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
호텔롯데,호텔-레저 ,16,41,57%,"호텔롯데, 롯데호텔, HOTEL LOTTE, 롯데월드",41%,18%,42%,64%,81%,21%,35%,66%,59%,26%,69%,86%,47%,33%,14%,-1%,163%,87%,10%,-1%,163%,87%,10%,29%,-7%,47%,31%,0%,14%,"27%"
동국시스템즈,IT서비스,10,41,56%,#N/A,57%,77%,48%,51%,31%,20%,78%,63%,43%,44%,38%,39%,94%,72%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
JYP엔터테인먼트,방송-엔터 ,12,41,56%,#N/A,85%,42%,26%,31%,55%,66%,84%,84%,42%,74%,90%,88%,13%,86%,69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
디케이테크인,IT서비스,10,41,57%,#N/A,82%,88%,61%,58%,40%,86%,78%,77%,56%,72%,30%,84%,97%,36%,81%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
GOLFZON,게임 ,11,40,59%,"GOLFZON, 골프존",84%,23%,70%,77%,39%,74%,65%,25%,34%,82%,18%,50%,85%,40%,74%,-19%,-3%,45%,2%,-19%,-3%,45%,2%,-22%,48%,-6%,-8%,109%,122%,"32%"
KT MOS북부,통신,25,40,59%,"KT MOS북부, 케이티엠오에스북부, MOS북부, 케이티MOS북부, KT, 케이티",65%,27%,8%,46%,24%,66%,67%,17%,9%,40%,37%,38%,59%,37%,45%,28%,147%,113%,134%,28%,147%,113%,134%,242%,107%,100%,87%,70%,84%,"106%"
LG디스플레이,전자-기계 ,90,40,57%,"LGD, LG Display, 엘지디스플레이, 엘지디, LG디스플레이, LG 디스플레이",59%,54%,56%,33%,29%,53%,68%,49%,47%,55%,35%,43%,64%,31%,48%,-1%,42%,70%,41%,-1%,42%,70%,41%,84%,19%,24%,6%,25%,17%,"3%"
LG에너지솔루션,자동차 ,118,40,58%,"LG에너지솔루션, 엘지에너지솔루션",71%,77%,73%,77%,73%,68%,79%,64%,56%,62%,79%,59%,85%,65%,80%,-6%,32%,25%,5%,-6%,32%,25%,5%,21%,-8%,-7%,-3%,12%,7%,"2%"
국방부,공공기관 ,20,40,58%,국방부,77%,82%,38%,59%,44%,91%,98%,48%,48%,82%,44%,93%,77%,71%,54%,-2%,79%,-8%,77%,-2%,79%,-8%,77%,44%,19%,-2%,-36%,-14%,-10%,"-26%"
다우기술,IT서비스,21,40,59%,"다우기술, 다우, Daou",81%,62%,70%,89%,51%,57%,51%,26%,52%,85%,62%,66%,13%,78%,61%,-21%,8%,50%,-23%,-21%,8%,50%,-23%,-25%,61%,58%,6%,21%,34%,"-19%"
스위스포트코리아,항공 ,11,40,59%,"스위스포트코리아, 스위스포트, 스위스포트 한국, Swissport Korea, Swissport",45%,17%,85%,19%,40%,37%,51%,63%,66%,72%,82%,12%,25%,52%,75%,-6%,91%,79%,-3%,-6%,91%,79%,-3%,67%,129%,46%,6%,16%,5%,"0%"
스태츠칩팩코리아,반도체 ,35,40,58%,"스태츠칩팩, 스태츠칩팩코리아",51%,58%,56%,67%,78%,75%,51%,65%,65%,52%,53%,62%,57%,75%,38%,-11%,37%,33%,0%,-11%,37%,33%,0%,-1%,-15%,36%,17%,9%,3%,"-2%"
